text,user,created_at,timestamp,geo
Agora próximo joguinho a ver é Everton,NotBarbaro,2015-09-19 13:54:07,1442670847904,
"Swansea XI v Everton: Fabianski; Naughton, Fernandez, Williams, Taylor; Cork, Shelvey, Sigurðsson; Montero, Ayew, Gomis.
#FATGlive",FATGofficial,2015-09-19 13:54:08,1442670848558,
"Swansea-Everton is up next on the agenda. Gomis, Montero, Sigurdsson and Ayew up front for the Swans with Shelvey and Cork in midfield.",Mark_Travis,2015-09-19 13:54:08,1442670848714,
@Julienchoquet Moi plutôt Swansea avec leur jeu atypique avec Montero-Sightshorson-Ayew qui va vite et Shelvey,PierrePerez0,2015-09-19 13:54:10,1442670850344,
"TEAM NEWS Swansea replace
Routledge with Montero. For
Everton, Browning makes a #BPL
debut, while hat-trick hero
Naismith starts #SWAEVE",SSFootball_,2015-09-19 13:54:11,1442670851199,
Late Strike Ends U18s' Perfect Start http://t.co/XuofLIsAr3 #everton #evertonfc #efc #toffees,efcliveupdates,2015-09-19 13:54:17,1442670857169,
Any streams for iPad lads #SWAEVE,davies_pint2,2015-09-19 13:54:17,1442670857590,
"Shelvey, Ayew, Sigurdsson, Montero, Gomis.💣 https://t.co/0SBqziH3jV",StiviGi8,2015-09-19 13:54:18,1442670858102,
"TEAM NEWS Swansea replace Routledge with Montero. For Everton, Browning makes a #BPL debut, while hat-trick hero Naismith starts #SWAEVE",FemiCoolfm,2015-09-19 13:54:18,1442670858852,
"City Bournemouth Villa Swansea Stoke 
Bet",MostonRedDevil,2015-09-19 13:54:19,1442670859031,
"Swansea City Vs Everton

Match Preview : http://t.co/UAIBe2oBjQ

Ftblsk4 #SWAEVE #SWAvEFC #Bpl #PremierLeague #Matchday #EFC #COYB",DeliKadin06,2015-09-19 13:54:20,1442670860219,
"Prochain match avec @MOZDof, Swansea-Everton, à 16h. Belle rencontre en perspective. #SWAEVE",French_PL,2015-09-19 13:54:23,1442670863397,
Hot match next Swansea vs Everton,_DxnielFCB,2015-09-19 13:54:23,1442670863512,
Enjoyed my walk and i just could not resist taking a picture of Swansea… https://t.co/ZhkWZjli8v,MummahK,2015-09-19 13:54:23,1442670863639,
@SwansOfficial @Everton @MOZDof @nicolastourriol @premierleague @canalplus  c'est sur quel canal??,TonyToon23,2015-09-19 13:54:25,1442670865461,
"Swansea City Vs Everton

Match Preview : http://t.co/lDWkILIzL6

Ftblsk4 #SWAEVE #SWAvEFC #Bpl #PremierLeague #Matchday #EFC #COYB",HazalYamur4,2015-09-19 13:54:25,1442670865807,
#SWAEVE swans,mastajamin,2015-09-19 13:54:25,1442670865879,
"Won't even enjoy this Swansea - Everton game now.

Looking forward to #FRA - #ITA then my weekend is over.",Maleeq,2015-09-19 13:54:26,1442670866337,
@Everton #SWAvEFC #SWAEVE #EFC #NSNO #COYB #Everton http://t.co/69t4ozk0JB,lennyconnolly,2015-09-19 13:54:29,1442670869118,
@MritalkApple123 @TheHulksBigToe @GradeAComics How do we feel about Swansea v. Everton?,RunWithComics,2015-09-19 13:54:29,1442670869242,
Algunos aficionados del Swansea no tolerarán una derrota hoy ante el Everton... #PremierLeague @NBCDeportes http://t.co/sGEUUMbuPj,APerezNBC,2015-09-19 13:54:29,1442670869569,
"RT Realandrea91: Cisse @ 3.35 1.5 u #Newcastle 
Sinclair @ 4.70 1 u #Astonvilla 
Gomis @ 2.88 2 u #Swansea 
#Målskyttar #betfair #PL",Newcast_le,2015-09-19 13:54:30,1442670870119,
2nd https://t.co/LhtDulNAx5,GAbachman,2015-09-19 13:54:30,1442670870619,
"Up next: Bournemouth v Sunderland
15:00 Newcastle v Watford 15:00 Stoke v
Leicester 15:00 Swansea v Everton 15:00
#BatgLive",BATGOfficial,2015-09-19 13:54:30,1442670870993,
"And come on, @Everton! #COYB #EFC #SWAEVE",ian_mcconville,2015-09-19 13:54:31,1442670871132,
So jealous  https://t.co/HSxKtwbZNL,bullcorsi,2015-09-19 13:54:32,1442670872074,
"Looking forward to an exciting gameSwansea vs Everton",_NanaKayy_,2015-09-19 13:54:33,1442670873067,
Swansea vs Everton - 3pm - HD Stream on Phoenix,KillerBeeStream,2015-09-19 13:54:34,1442670874693,
Sir Everton Weekends,StiffUpperHip,2015-09-19 13:54:36,1442670876416,
All right! Montero's back! #SWAEVE #BPLonNBC,DeadlockVictim,2015-09-19 13:54:38,1442670878755,
"#SwanseaCity v #Everton #SWAEVE
#Swansea #Toffees #Swans #EFC 

Watch Online ▶ http://t.co/VpuGZSfiEC",FootballPulp,2015-09-19 13:54:40,1442670880165,
"TEAM NEWS Swansea replace Routledge with Montero. For Everton, Browning makes a #BPL debut, while hat-trick hero Naismith starts #SWAEVE",Iamtitoluwa,2015-09-19 13:54:40,1442670880720,
Swansea lwn everton,NeuerHazeeq,2015-09-19 13:54:42,1442670882444,
@Lashley93 concentrate on ur team mate ...didn't know u supported everton LOL..booooooom the champions 2-0 hahaha,kris1179,2015-09-19 13:54:46,1442670886561,
"Swansea - Everton
Best link: http://t.co/OWEgAPIDVE
HD: http://t.co/rClqsO4NvN
HD:... http://t.co/lx2oWc0rGr",LiveSports_HD,2015-09-19 13:54:46,1442670886925,
Roberto appears to agree https://t.co/UOPMfjNiVc,LoveEvertonBlog,2015-09-19 13:54:47,1442670887554,
"I hope last year club version of Tim Howard shows up
@SwansOfficial v @Everton 
#SWAEVE #Swans",NYBlackStar,2015-09-19 13:54:47,1442670887834,
"Up next: Bournemouth v Sunderland
15:00 Newcastle v Watford 15:00 Stoke v Leicester 15:00 Swansea v Everton 15:00 #BatgLive",blackcoin02,2015-09-19 13:54:48,1442670888679,
"So, what to watch next.... Real Madrid Vs Granada... Swansea Vs Everton... Darmstadt Vs Bayern Munich",Big_Bad_Ben,2015-09-19 13:54:49,1442670889508,
#PREMIERxFL alineación del equipo de Merseyside! XI del #Everton http://t.co/hPIpqXyiDu,FutbolElineas,2015-09-19 13:54:49,1442670889252,
#SWAEVE Team zenye wachezaji wangu wengi wa Football Fantasy League,OchuTheKid,2015-09-19 13:54:49,1442670889787,
#Everton without Baines and Coleman. When last? 😐 #EPL,Shiven_n24,2015-09-19 13:54:51,1442670891252,
"Everton XI v Swansea: Howard;  Browning, Stones, Jagielka, Galloway; Barry, McCarthy, Barkley; Naismith, Kone, Lukaku.
#FATGlive",FATGofficial,2015-09-19 13:54:51,1442670891621,
"Forget Chelsea, there weren't these many arsenal fans as there are Everton fans now, whoa!",dankchikidang,2015-09-19 13:54:55,1442670895866,
Who is browning? An everton yute. Everton and these impressive yutes https://t.co/WKyghkbHIp,milingpiling,2015-09-19 13:54:56,1442670896556,
Swansea 🎉🎉💪🏾💪🏾,SenyoThaGreat23,2015-09-19 13:54:57,1442670897854,
#BOUSUN or #SWAEVE?,SmuggieMike,2015-09-19 13:54:59,1442670899062,
"It's gotta be #everton today. It results go our way we can fish in top 4 #efc over swans 3-2 today- or 4-1, or 2-0, or I don't care- win !",aafbnl16,2015-09-19 13:55:00,1442670900073,
The Swansea game it is,AaronOboo,2015-09-19 13:55:00,1442670900107,
"""@SwansOfficial: TEAM NEWS: Here’s how the #Swans will line up against @Everton this afternoon… #SWAEVE http://t.co/fuPEC3TBzP"" MONTERO!!!",Mr_tweetntreats,2015-09-19 13:55:00,1442670900746,
"Game Day 6 Predictions: Spurs looking good over Palace, Leicester picked to have trouble at Stoke, Swansea big faves. http://t.co/BhZLJBnjRK",Soccermetric,2015-09-19 13:55:03,1442670903401,
