text,user,created_at,timestamp,geo,lang,polarity
Del Bosque debe haber disfrutado con el Swansea-Bournemouth. En trece minutos empieza el partidillo entre el Real Madrid y el Barcelona.,juanma_rguez,2015-11-21 17:02:24,1448125344889,,es,2
"#BenitezEffect REMEMBA???? ""@MajorTWeezle: Is this Real Madrid playing or Swansea pls""",BrotUp,2015-11-21 17:59:45,1448128785803,,en,2
"Stoke City 😂😂 RT""@MajorTWeezle: Is this Real Madrid playing or Swansea pls""",AmeComplique,2015-11-21 18:04:34,1448129074065,,en,2
Es el Real Madrid o el Swansea? :v,VignatoGio,2015-11-21 18:04:48,1448129088086,,es,2
"3 main bets I done today are as follows. Man city single, Real Madrid https://t.co/ha6sP8N7ui city/real double and man city/real/Swansea 😊😊😊",daveyshop,2015-11-21 18:06:18,1448129178645,,en,2
"Excuse me,but is this Barcelona vs Swansea???!!!!",TheReclusifix,2015-11-21 18:29:42,1448130582654,,en,2
Swansea City getting a major beat down at the bernabeu....cant wait till Barcelona meets Madrid...,SholaThompson,2015-11-21 18:45:00,1448131500708,,en,2
